document,product,source
"[포토]영화 '올빼미' 기자간담회, 다 함께 파이팅! 배우 류준열(왼쪽)와 유해진(오른쪽)이 10일 서울 용산구 GCV 아이파크몰에서 진행된 영화 ‘올빼미’ 시사회 및 기자간담회에서 안태진 감독과 함께 취재진을 향해 포즈를 취하고 있다. 영화 ‘올빼미’는 밤에만 앞이... ",the_night_owl,naver_news_integrated.csv
"韓영화 아카데미 외국어영화상 도전사, '사도' 24번째 출품 2015년에는 심성보 감독의 '해무'가 한국 대표작으로 출품됐다. 이준익 감독으로서는 2007년 '왕의 남자' 이후 2번째 도전이다. 한국 출품작이 단 한 번도 후보에 오르지 못한 외국어영화상이지만, 내년의 '사도'는... ",sado,naver_news_integrated.csv
"'남산의 부장들' 역사 왜곡 논란을 말하다…'최악의 정치 선동, 의도가... 故 박정희 전 대통령 관련 단체들이 영화 '남산의 부장들'을 '사실 왜곡의 극치'라며 비판하고 나섰다. 박정희대통령기념재단 등은 3일 조선일보 광고면을 통해 '남산의 부장들'을 규탄하는 성명을 발표했다. 이번 광고에... ",the_man_standing_next,naver_news_integrated.csv
"'완성도 높은 웰메이드'…이준익 감독, '올빼미' 극찬 영화 '올빼미(안태진 감독)'는 밤에만 앞이 보이는 맹인 침술사가 세자의 죽음을 목격한 후 진실을 밝히기 위해 벌이는 하룻밤의 사투를 그린 스릴러로, 천만 관객을 동원한 영화 '왕의 남자' 조감독 출신 안태진 감독의 장편... ",the_night_owl,naver_news_integrated.csv
"'사도' 심리-북-역사, 릴레이 시네마콘서트 개최 2015년 하반기 최고의 기대작으로 손꼽히는 ‘사도’가 사전 시사회를 통해 다양한 시각으로 영화를 즐길 수 있는 관객과의 대화 자리를 마련한다. ‘영조’와 ‘사도’의 내면 심리에 초점을 맞춘 심리 콘서트는... ",sado,naver_news_integrated.csv
"'남산의 부장들' 웰메이드일 수밖에…1979년을 그려낸 베테랑 제작진 웰메이드라 평가받고 있는 영화 남산의 부장들'(감독 우민호). 그 배경엔 베테랑 스태프들이 있었다. '남산의 부장들'은 1979년, 제2의 권력자라 불리던 중앙정보부장(이병헌)이 대한민국 대통령 암살사건을 벌이기 전 40일... ",the_man_standing_next,naver_news_integrated.csv
"박찬욱 감독의 선구안이 완성한 ‘헤어질 결심’의 역대급 조연 라인업... 박찬욱 감독의 신작 영화 헤어질 결심은 배우들의 열연이 돋보이는 영화다. 형사인 남자 주인공이 피의자인 여자주인공을 수사하며 자신도 모르게 그에게 빠져드는 과정과 심리를 박해일, 탕웨이 두 배우가 잘 소화해... ",decision_to_leave,naver_news_integrated.csv
"‘사도’ 전혜진, 누구보다 화려하게… 자신감 넘치는 포즈(NC포토) [영화정보]영화명: ‘사도’장르: 사극감독: 이준익개봉일: 2015년 9월 16일출연: 송강호, 유아인, 문근영, 김해숙, 전혜진 외.관람등급: 12세이상 관람가 (뉴스컬처=) 대한민국 No.1 문화신문 [뉴스컬처] [네이버 뉴스스탠드]... ",sado,naver_news_integrated.csv
[차트IS] ‘올빼미’ 100만 돌파… 류준열→유해진 감사 인증샷 영화 ‘올빼미’가 100만 관객을 돌파했다. 11월 30일 영화관 입장권 통합전산망에 따르면 ‘올빼미’는 이날 오전 7시 기준 누적 관객 수 103만 6808명을 기록하며 100만 관객을 넘어섰다. ‘올빼미’는 밤에만 앞이... ,the_night_owl,naver_news_integrated.csv
"‘남산의 부장들’·‘히트맨’ 손익분기점 돌파 앞두고 코로나 여파로... 2월 5일 영진위 통합전산망 집계에 따르면 4일 영화 '남산의 부장들'(감독 우민호)이 4만8,829명을 동원하며 박스오피스 1위에 이름을 올렸다. 누적 관객 수는 435만7,065명이다. 같은 날 2위는 영화 '히트맨'(감독 최원섭)... ",the_man_standing_next,naver_news_integrated.csv
